date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-03-21,TEAM,TEAM,227.3293,Farquhar Scott,1666121,"Director, 10% Owner",Sale,1204.0,273704.48,54432.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002694/primarydocument.xml
2025-03-21,TEAM,TEAM,220.519,Farquhar Scott,1666121,"Director, 10% Owner",Sale,250.0,55129.75,54182.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002694/primarydocument.xml
2025-03-21,TEAM,TEAM,221.4967,Farquhar Scott,1666121,"Director, 10% Owner",Sale,150.0,33224.5,54032.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002694/primarydocument.xml
2025-03-21,TEAM,TEAM,219.72,Farquhar Scott,1666121,"Director, 10% Owner",Sale,250.0,54930.0,53782.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002694/primarydocument.xml
2025-03-21,TEAM,TEAM,223.0767,Farquhar Scott,1666121,"Director, 10% Owner",Sale,150.0,33461.5,53632.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002694/primarydocument.xml
2025-03-21,TEAM,TEAM,224.5396,Farquhar Scott,1666121,"Director, 10% Owner",Sale,774.0,173793.65,52858.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002694/primarydocument.xml
2025-03-21,TEAM,TEAM,225.6581,Farquhar Scott,1666121,"Director, 10% Owner",Sale,2899.0,654182.83,49959.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002694/primarydocument.xml
2025-03-21,TEAM,TEAM,226.4184,Farquhar Scott,1666121,"Director, 10% Owner",Sale,2271.0,514196.19,47688.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002694/primarydocument.xml
2025-03-21,TEAM,TEAM,227.3291,Cannon-Brookes Michael,1666120,"Director, Officer (CEO, Co-Founder), 10% Owner",Sale,1205.0,273931.57,54431.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002693/primarydocument.xml
2025-03-21,TEAM,TEAM,226.4182,Cannon-Brookes Michael,1666120,"Director, Officer (CEO, Co-Founder), 10% Owner",Sale,2270.0,513969.31,52161.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002693/primarydocument.xml
2025-03-21,TEAM,TEAM,224.5391,Cannon-Brookes Michael,1666120,"Director, Officer (CEO, Co-Founder), 10% Owner",Sale,773.0,173568.72,51388.0,https://www.sec.gov/Archives/edgar/data/1650372/000156218025002693/primarydocument.xml
